t,count,cov,wcount,speed,dirx,diry,consist,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15
44.0,81,0.13319219648838043,44.76551818847656,15.15842511292946,0.24150120032675415,-0.31197162412542745,0.3945239207180219,0.0,0.0,0.0,1.0,19.0,7.0,0.0,0.0,12.0,16.0,12.0,8.0,0.0,0.0,1.0,5.0
45.0,62,0.07946696877479553,34.2763671875,20.331437810983374,-0.002783992348000191,-0.1770732584164394,0.17709514239416294,0.0,0.0,0.0,0.0,5.0,15.0,4.0,1.0,10.0,8.0,3.0,11.0,0.0,0.0,4.0,1.0
46.0,51,0.09110960364341736,29.35643196105957,16.727366566695725,0.20286575498261963,-0.23946701825255717,0.3138454514174752,0.0,0.0,0.0,0.0,2.0,8.0,3.0,0.0,9.0,12.0,4.0,10.0,0.0,0.0,0.0,3.0
47.0,81,0.10176260769367218,45.86423110961914,17.132116289071245,0.050968893889795426,-0.23940904754063078,0.2447744271541887,0.0,0.0,0.0,0.0,12.0,14.0,2.0,0.0,9.0,17.0,6.0,11.0,0.0,4.0,2.0,4.0
48.0,79,0.1025770828127861,44.12636184692383,13.89379739731648,-0.1830272964591002,-0.3706238802860178,0.41335342249386514,0.0,0.0,0.0,0.0,9.0,20.0,2.0,0.0,9.0,21.0,3.0,6.0,1.0,2.0,3.0,3.0
49.0,56,0.08345144987106323,32.43560028076172,14.663174263033916,0.025831085878794617,-0.22664868783230288,0.22811591942208317,0.0,0.0,0.0,0.0,6.0,9.0,2.0,0.0,7.0,12.0,5.0,10.0,0.0,1.0,3.0,1.0
50.0,75,0.10684145241975784,42.89878463745117,12.252479861745137,-0.06642359573339952,-0.4557159060281833,0.4605313030373094,0.0,0.0,0.0,0.0,15.0,13.0,2.0,0.0,8.0,12.0,4.0,12.0,0.0,1.0,4.0,4.0
51.0,52,0.06358308345079422,28.3132266998291,17.559209513647236,-0.3550755207705703,-0.4135485208429908,0.5450697244774445,0.0,0.0,0.0,0.0,6.0,13.0,3.0,0.0,10.0,8.0,3.0,7.0,1.0,0.0,0.0,1.0
52.0,70,0.08725529164075851,37.522857666015625,16.318231443313575,-0.017511998913466734,-0.3445965143211562,0.3450411972333681,0.0,0.0,0.0,0.0,5.0,27.0,0.0,0.0,10.0,11.0,4.0,10.0,2.0,0.0,0.0,1.0
53.0,52,0.061762381345033646,28.065567016601562,11.125378978025921,0.06601302028272703,-0.36920773468038726,0.3750627550086398,0.0,0.0,0.0,0.0,7.0,11.0,4.0,0.0,5.0,8.0,5.0,9.0,1.0,0.0,1.0,1.0
54.0,61,0.09407418966293335,34.21283721923828,10.777171201628072,-0.2872617385774137,-0.3932245089956291,0.48697517485532255,1.0,0.0,0.0,0.0,5.0,10.0,2.0,0.0,6.0,13.0,9.0,12.0,0.0,1.0,1.0,1.0
55.0,51,0.06890654563903809,27.772998809814453,10.716426661661329,-0.17683681219089745,-0.480633357388486,0.5121324851836357,0.0,0.0,0.0,0.0,6.0,13.0,1.0,1.0,9.0,9.0,4.0,7.0,0.0,0.0,0.0,1.0
56.0,69,0.09626546502113342,39.610233306884766,12.769471338790412,0.046141369237403314,-0.3380498064423464,0.3411842575366136,0.0,0.0,0.0,0.0,3.0,18.0,1.0,0.0,11.0,18.0,7.0,9.0,0.0,0.0,2.0,0.0
57.0,52,0.0750226303935051,30.959123611450195,12.860970776669204,-0.423488735826643,-0.38157511334376437,0.5700370834387486,0.0,0.0,0.0,0.0,2.0,12.0,2.0,0.0,11.0,9.0,4.0,8.0,1.0,2.0,0.0,1.0
58.0,59,0.08996758610010147,32.496028900146484,12.541107842109968,-0.2631023249437264,-0.057523654797597745,0.26931729289458445,0.0,0.0,0.0,0.0,3.0,17.0,0.0,0.0,15.0,10.0,5.0,9.0,0.0,0.0,0.0,0.0
59.0,52,0.09918449074029922,27.609655380249023,18.133341237777195,-0.4133673104873622,-0.15867337000905146,0.4427750802942558,0.0,0.0,0.0,1.0,5.0,14.0,0.0,0.0,12.0,10.0,4.0,5.0,0.0,1.0,0.0,0.0
60.0,67,0.08824285119771957,36.22356033325195,19.937303626491122,-0.2144362850633242,-0.2653407115945144,0.3411577546843139,0.0,0.0,0.0,0.0,13.0,17.0,0.0,0.0,16.0,8.0,4.0,8.0,0.0,1.0,0.0,0.0
61.0,60,0.08203653991222382,33.50436019897461,15.52591866796746,-0.24557913342975513,-0.130798706801069,0.27823984703298965,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,9.0,13.0,6.0,10.0,0.0,0.0,1.0,1.0
